Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 33482804k(12500280k free), swap 40426976k(8624048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.068: [GC (Allocation Failure) 0.068: [DefNew: 896K->63K(960K), 0.0008354 secs] 1061K->626K(524224K), 0.0009249 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.085: [GC (Allocation Failure) 0.085: [DefNew: 959K->64K(960K), 0.0007462 secs] 1776K->1387K(524224K), 0.0007828 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.089: [GC (Allocation Failure) 0.089: [DefNew: 960K->64K(960K), 0.0009958 secs] 2347K->2293K(524224K), 0.0010359 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.092: [GC (Allocation Failure) 0.092: [DefNew: 960K->63K(960K), 0.0007786 secs] 3223K->3219K(524224K), 0.0008067 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.097: [GC (Allocation Failure) 0.097: [DefNew: 959K->64K(960K), 0.0007668 secs] 4116K->4113K(524224K), 0.0007973 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.100: [GC (Allocation Failure) 0.100: [DefNew: 960K->63K(960K), 0.0007921 secs] 5074K->5064K(524224K), 0.0008206 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.103: [GC (Allocation Failure) 0.103: [DefNew: 959K->64K(960K), 0.0008663 secs] 5969K->5961K(524224K), 0.0009010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.106: [GC (Allocation Failure) 0.106: [DefNew: 960K->63K(960K), 0.0009290 secs] 6859K->6842K(524224K), 0.0009643 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.111: [GC (Allocation Failure) 0.111: [DefNew: 959K->63K(960K), 0.0009329 secs] 7764K->7747K(524224K), 0.0009677 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.116: [GC (Allocation Failure) 0.116: [DefNew: 959K->63K(960K), 0.0012166 secs] 8830K->8805K(524224K), 0.0012538 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
0.119: [GC (Allocation Failure) 0.119: [DefNew: 959K->63K(960K), 0.0011345 secs] 9703K->9689K(524224K), 0.0011736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.123: [GC (Allocation Failure) 0.123: [DefNew: 959K->63K(960K), 0.0013542 secs] 10586K->10579K(524224K), 0.0014062 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.126: [GC (Allocation Failure) 0.126: [DefNew: 959K->64K(960K), 0.0009331 secs] 11477K->11449K(524224K), 0.0009611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.131: [GC (Allocation Failure) 0.131: [DefNew: 960K->63K(960K), 0.0008354 secs] 12346K->12288K(524224K), 0.0008590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.134: [GC (Allocation Failure) 0.134: [DefNew: 959K->63K(960K), 0.0009436 secs] 13185K->13137K(524224K), 0.0009705 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.139: [GC (Allocation Failure) 0.139: [DefNew: 959K->63K(960K), 0.0010588 secs] 14033K->14003K(524224K), 0.0010941 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.142: [GC (Allocation Failure) 0.142: [DefNew: 959K->64K(960K), 0.0010260 secs] 14899K->14872K(524224K), 0.0010595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.146: [GC (Allocation Failure) 0.146: [DefNew: 960K->64K(960K), 0.0011613 secs] 16025K->15967K(524224K), 0.0011943 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.149: [GC (Allocation Failure) 0.149: [DefNew: 960K->63K(960K), 0.0010920 secs] 16864K->16821K(524224K), 0.0011278 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.154: [GC (Allocation Failure) 0.154: [DefNew: 959K->64K(960K), 0.0013374 secs] 17718K->17711K(524224K), 0.0013771 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.157: [GC (Allocation Failure) 0.157: [DefNew: 960K->63K(960K), 0.0011249 secs] 18607K->18596K(524224K), 0.0011547 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.161: [GC (Allocation Failure) 0.161: [DefNew: 959K->63K(960K), 0.0012671 secs] 19492K->19463K(524224K), 0.0013008 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.164: [GC (Allocation Failure) 0.164: [DefNew: 959K->64K(960K), 0.0018096 secs] 20360K->20314K(524224K), 0.0018715 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.170: [GC (Allocation Failure) 0.170: [DefNew: 960K->63K(960K), 0.0012035 secs] 21211K->21191K(524224K), 0.0012355 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.173: [GC (Allocation Failure) 0.173: [DefNew: 959K->63K(960K), 0.0012489 secs] 22088K->22071K(524224K), 0.0012817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.178: [GC (Allocation Failure) 0.178: [DefNew: 959K->64K(960K), 0.0013095 secs] 22967K->22954K(524224K), 0.0013522 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.183: [GC (Allocation Failure) 0.183: [DefNew: 960K->63K(960K), 0.0014331 secs] 23852K->23822K(524224K), 0.0014735 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.186: [GC (Allocation Failure) 0.186: [DefNew: 959K->63K(960K), 0.0014425 secs] 24718K->24708K(524224K), 0.0014864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.191: [GC (Allocation Failure) 0.191: [DefNew: 959K->63K(960K), 0.0013805 secs] 25606K->25595K(524224K), 0.0014242 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.194: [GC (Allocation Failure) 0.194: [DefNew: 959K->64K(960K), 0.0013632 secs] 26491K->26479K(524224K), 0.0013991 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.199: [GC (Allocation Failure) 0.199: [DefNew: 960K->63K(960K), 0.0014769 secs] 27375K->27363K(524224K), 0.0015142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.202: [GC (Allocation Failure) 0.202: [DefNew: 959K->63K(960K), 0.0014073 secs] 28261K->28247K(524224K), 0.0014370 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.206: [GC (Allocation Failure) 0.206: [DefNew: 959K->63K(960K), 0.0013365 secs] 29143K->29134K(524224K), 0.0013737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.209: [GC (Allocation Failure) 0.209: [DefNew: 959K->64K(960K), 0.0017151 secs] 30542K->30510K(524224K), 0.0017507 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.214: [GC (Allocation Failure) 0.214: [DefNew: 960K->63K(960K), 0.0015364 secs] 31407K->31397K(524224K), 0.0015686 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
